text;tts
Доминантовое трезвучие;домин+антовое трезв+учие
Доминантовый квартсекстаккорд;домин+антовый кварт сэкст ак+орд
Доминантовый секстаккорд;домин+антовый сэкст ак+орд
Субдоминантовое трезвучие;суб домин+антовое трезв+учие
Субдоминантовый квартсекстаккорд;суб домин+антовый кварт сэкст ак+орд
Субдоминантовый секстаккорд;суб домин+антовый сэкст ак+орд
Тонический квартсекстаккорд;тон+ический кварт сэкст ак+орд
Тонический секстаккорд;тон+ический сэкст ак+орд
Тоническое трезвучие;тон+ическое трезв+учие
Большая секста;больш+ая с+экста
Большая терция;больш+ая т+эрция
Кварта;кв+арта
Квинта;кв+инта
Малая секста;м+алая с+экста
Малая терция;м+алая т+эрция
